Time taken => 0.000000 sec 


62	80	99	153	199	204	222	338	338	422	466	542	557	604	652	727	794	837	866	950	
1035	1076	1083	1169	1231	1276	1284	1290	1300	1335	1381	1543	1628	1664	1759	1784	1820	1970	2046	2065	
2178	2181	2194	2205	2278	2316	2419	2463	2535	2547	2661	2715	2853	2931	2959	3097	3136	3416	3478	3551	
3574	3595	3613	3620	3665	3856	3906	3985	4050	4095	4103	4108	4210	4236	4308	4409	4443	4505	4536	4567	
4606	4674	4718	4834	4923	4954	5064	5069	5074	5115	5225	5258	5319	5540	5715	5844	6034	6189	6264	6341	
6417	6432	6433	6518	6546	6735	6786	6827	6860	6900	6914	6935	6943	7002	7158	7224	7323	7344	7420	7501	
7613	7717	7767	7803	7843	7850	7995	8021	8065	8091	8164	8179	8210	8226	8366	8408	8419	8470	8519	8619	
8625	8669	8685	8715	8776	8805	8819	8895	8983	8985	9102	9128	9162	9239	9277	9404	9493	9546	9598	9671	
9673	9786	9819	9932	9936	9985	10058	10067	10080	10124	10130	10215	10218	10226	10413	10441	10467	10530	10732	10741	
10758	10762	10913	10951	11059	11115	11215	11218	11228	11265	11338	11339	11357	11361	11369	11539	11581	11596	11627	11639	
11701	11704	11914	11947	11983	11987	12005	12082	12106	12125	12341	12374	12388	12388	12529	12577	12604	12605	12618	12684	
12869	12881	12990	13000	13000	13121	13264	13640	13699	13722	13801	13852	13999	14022	14033	14176	14226	14414	14432	14439	
14669	14697	14726	14754	14794	14810	14917	15035	15061	15270	15463	15531	15634	15635	15666	15794	15826	15856	15892	16079	
16097	16145	16156	16253	16342	16433	16465	16505	16506	16616	16618	16643	16798	17043	17073	17174	17678	17724	17863	17906	
18028	18162	18264	18310	18314	18508	18528	18617	18637	18652	18668	18867	19061	19066	19187	19371	19434	19444	19447	19715	
19717	19869	20013	20041	20089	20134	20179	20191	20393	20579	20636	20699	20701	20730	20774	20797	21004	21048	21077	21153	
21205	21298	21315	21533	21712	21747	21790	21800	21832	21896	22006	22028	22110	22410	22431	22451	22517	22605	22716	22784	
22868	22897	23013	23042	23095	23111	23113	23244	23244	23273	23311	23313	23316	23325	23342	23404	23555	23670	23734	23814	
23819	23986	23993	24073	24145	24231	24259	24325	24440	24529	24817	24842	24950	25015	25321	25387	25433	25471	25517	25612	
25660	25698	25772	25774	25782	25853	25901	26155	26177	26219	26272	26409	26528	26548	26636	26674	26702	26712	26718	26718	
26876	26895	26907	26913	26916	27008	27047	27061	27073	27188	27317	27353	27454	27469	27741	27753	27848	28002	28010	28207	
28251	28409	28432	28559	28646	28739	28742	28846	28872	28902	28912	28961	28977	29028	29056	29064	29145	29289	29294	29357	
29541	29554	29556	29558	29562	29635	29650	29670	29841	29864	29893	30032	30075	30171	30329	30444	30489	30540	30555	30565	
30636	30714	30775	30817	30854	30876	30999	31023	31025	31066	31078	31150	31169	31174	31313	31423	31477	31493	31516	31569	
31577	31584	31692	31775	31819	31878	32019	32025	32041	32064	32070	32079	32229	32307	32432	32434	32572	32574	32580	32593	
